"","respondent_id","enrollment","employment","employment_type","weekly_work_hrs","ethnicity","gender","total_income","academic_level","college/school","mode_transport","transport_reliability","living_alone","dependents","household_head","residence","permanent_address","spent_night_elsewhere","know_homelessness_studt","federal_aid","FI_q26","FI_q27","FI_q28","FI_q30","FI_q31","expenditures_changed","income_changed","fed_aid_changed","debt_changed"
"58",87873404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",87873405,"Full Time","No",NA,NA,"Hispanic","Male","70,000-99,999","Senior","Business","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","About the same","Decreased","Decreased","Increased"
"60",87873406,"Full Time","No",NA,NA,"Other","Female","< 10,000","Senior","Business","Car (alone)","Fairly reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"Yes","Loans","Often true","Sometimes true","Yes","Yes","Yes","Decreased","Decreased","Decreased","Increased"
"61",87873407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",87873409,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Male","50,000-69,999","Junior","Business","Car (alone)","Somewhat reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Multiple Aids","Often true","Often true","Yes","Yes","Yes","Decreased","Decreased","Decreased","About the same"
"63",87873410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",87873411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",87873412,"Full Time","No",NA,NA,"Hispanic","Female","30,000-39,000","Senior","Nursing","Car (alone)","Very reliable","No","Yes","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","About the same","About the same","About the same","Increased"
"66",87873413,"Full Time","Part Time","On-Campus","More than 19 hours","Hispanic","Male","20,000-29,999","Doctoral/Professional","Engineering","Car (alone)","Not reliable at all","Yes",NA,"Yes","Off-Campus not with family","Yes",NA,"Yes","Loans","Often true","Often true","Yes","Yes","Yes","About the same","About the same","Increased","Increased"
"67",87873414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",87873415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",87873417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",87873418,"Full Time","Part Time","On-Campus","19 hours or less","Hispanic","Male","30,000-39,000","Doctoral/Professional","Science","Car (alone)","Fairly reliable","Yes",NA,"Yes","Off-Campus not with family","No","Rarely","No","Other","Never true","Sometimes true","No","No","No","About the same","Decreased","Decreased","About the same"
"71",87873419,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Senior","Health Sciences","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Other","Never true","Never true","No","No","No","Decreased","About the same","Decreased","Decreased"
"72",87873420,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","30,000-39,000","Junior","Health Sciences","Car (alone)","Very reliable","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",87873423,"Full Time","No",NA,NA,"Hispanic","Female","50,000-69,999","Doctoral/Professional","Pharmacy","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Loans","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"74",87873424,"Full Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Male","20,000-29,999","Senior","Liberal Arts","Car (alone)","Very reliable","No","No","Yes","Off-Campus with family","Yes",NA,"No","Multiple Aids","Often true","Often true","Yes","Yes","Yes","Decreased","Decreased","Decreased","Increased"
"75",87873426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",87873427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",87873428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",87873429,"Full Time","Part Time","On-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Junior","More than one","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Often true","Yes","Yes","Yes","Decreased","Decreased","About the same","About the same"
"79",87873430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",87873431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",87873432,"Full Time","Part Time","On-Campus","19 hours or less","Hispanic","Male","< 10,000","Senior","Engineering","Car (alone)","Somewhat reliable","No","No","Yes","Off-Campus not with family","Yes",NA,"Yes","Work Study","Often true","Often true","Yes","Yes","Yes","Decreased","Decreased","Decreased","Increased"
"82",87873433,"Full Time","No",NA,NA,"Hispanic","Female","< 10,000","Senior","Business","Car (alone)","Fairly reliable","Yes",NA,"No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Sometimes true","Sometimes true","No","No","No","Increased","About the same","Increased","Increased"
"83",87873434,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Male","70,000-99,999","Senior","Liberal Arts","Not applicable","Very reliable","No","No","Yes","Off-Campus with family","Yes",NA,"Yes","Loans","Sometimes true","Sometimes true","No","Yes","No","About the same","Increased","About the same","Increased"
"84",87873435,"Full Time","No",NA,NA,"Hispanic","Female","< 10,000","Junior","Health Sciences","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","Increased","Decreased","Decreased","About the same"
"85",87873436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",87873437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87873439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",87873440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",87873441,"Full Time","No",NA,NA,"Hispanic","Female","30,000-39,000","Senior","Engineering","Car (alone)","Fairly reliable","No","Yes","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Sometimes true","Sometimes true","Yes","Yes","Yes","Decreased","Decreased","Decreased","Increased"
"90",87873442,"Full Time","No",NA,NA,"Hispanic","Female","10,000-19,999","Junior","Science","Car (alone)","Fairly reliable","No","Yes","No","Off-Campus with family","Yes",NA,"Yes","Grants","Sometimes true","Sometimes true","Yes","Yes","Yes","Increased","Decreased","About the same","About the same"
"91",87873443,"Full Time","No",NA,NA,"Hispanic","Male","20,000-29,999","Senior","Engineering","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Sometimes true","Sometimes true","Yes","Yes","No","About the same","About the same","About the same","About the same"
"92",87873444,"Part Time","No",NA,NA,"Hispanic","Male","10,000-19,999","Freshman","Business","Car (someone drives) & Carpool","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Sometimes true","Sometimes true","No","No","No","About the same","Decreased","Decreased","Decreased"
"93",87873445,"Part Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Male","40,000-49,999","Senior","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Other","Sometimes true","Sometimes true","No","No","No","Increased","About the same","Decreased","Increased"
"94",87873446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",87873447,"Full Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Senior","Education","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Sometimes true","Yes","Yes","Yes","Decreased","Decreased","Increased","About the same"
"96",87873449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",87873450,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Junior","Education","Bike, Trolley, or Walk","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Sometimes true","Yes","Yes","Yes","Increased","Decreased","Decreased","Increased"
"98",87873451,"Full Time","No",NA,NA,"Hispanic","Male","30,000-39,000","Senior","Liberal Arts","Bus/Public transport","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","About the same","Decreased","Decreased","About the same"
"99",87873452,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","30,000-39,000","Junior","Liberal Arts","Car (alone)","Very reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"Yes","Multiple Aids","Sometimes true","Sometimes true","Yes","Yes","Yes","Increased","Decreased","About the same","Increased"
"100",87873453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",87873454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",87873455,"Full Time","Part Time","On-Campus","19 hours or less","Hispanic","Male","10,000-19,999","Masters","Engineering","Car (alone)","Fairly reliable","Yes",NA,"Yes","Off-Campus not with family","Yes",NA,"Yes","Loans","Sometimes true","Often true","Yes","No","No","About the same","Decreased","About the same","Increased"
"103",87873456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",87873458,"Part Time","No",NA,NA,"Hispanic","Female","70,000-99,999","Senior","Science","Car (alone)","Fairly reliable","No","Yes","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Sometimes true","Yes","Yes","Yes","About the same","About the same","About the same","About the same"
"105",87873459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",87873461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",87873462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",87873463,"Part Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female","70,000-99,999","Senior","Education","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","Decreased","Decreased","About the same","About the same"
"109",87873464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",87873465,"Full Time","Full Time","Off-Campus","19 hours or less","Hispanic","Female","30,000-39,000","Doctoral/Professional","Pharmacy","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Loans","Never true","Sometimes true","No","No","No","Decreased","Decreased","Decreased","Increased"
"111",87873466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",87873467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",87873469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",87873470,"Part Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","30,000-39,000","Junior","Liberal Arts","Car (alone)","Very reliable","No","Yes","Yes","Off-Campus with family","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",87873471,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Junior","Education","Car (alone)","Not reliable at all","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Never true","No","No","No","About the same","About the same","About the same","Increased"
"116",87873472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",87873473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",87873474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",87873475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
